"DirectedEdge[488, 1403]","DirectedEdge[1403, 488]","{11, 1}"
"DirectedEdge[488, 962]","DirectedEdge[962, 488]","{10, 2}"
"DirectedEdge[170, 1841]","DirectedEdge[1841, 170]","{53, 40}"
"DirectedEdge[488, 1841]","DirectedEdge[1841, 488]","{10, 5}"
"DirectedEdge[6240, 2]","DirectedEdge[2, 6240]","{11, 2}"
"DirectedEdge[1304, 465]","DirectedEdge[465, 1304]","{1, 1}"
"DirectedEdge[6599, 2]","DirectedEdge[2, 6599]","{51, 2}"
"DirectedEdge[1003, 2964]","DirectedEdge[2964, 1003]","{3, 4}"
"DirectedEdge[4395, 4395]","DirectedEdge[4395, 4395]","{24, 24}"
"DirectedEdge[488, 3124]","DirectedEdge[3124, 488]","{7, 4}"
"DirectedEdge[728, 2]","DirectedEdge[2, 728]","{18, 2}"
"DirectedEdge[6904, 3494]","DirectedEdge[3494, 6904]","{6, 3}"
"DirectedEdge[4461, 1219]","DirectedEdge[1219, 4461]","{23, 1}"
"DirectedEdge[488, 1219]","DirectedEdge[1219, 488]","{7, 6}"
"DirectedEdge[7732, 2]","DirectedEdge[2, 7732]","{8, 2}"
"DirectedEdge[18, 824]","DirectedEdge[824, 18]","{2, 2}"
"DirectedEdge[18, 493]","DirectedEdge[493, 18]","{21, 6}"
"DirectedEdge[2304, 1885]","DirectedEdge[1885, 2304]","{3, 2}"
"DirectedEdge[823, 1494]","DirectedEdge[1494, 823]","{4, 1}"
"DirectedEdge[488, 1494]","DirectedEdge[1494, 488]","{4, 8}"
"DirectedEdge[488, 2625]","DirectedEdge[2625, 488]","{1, 2}"
"DirectedEdge[1673, 2]","DirectedEdge[2, 1673]","{30, 2}"
"DirectedEdge[372, 5422]","DirectedEdge[5422, 372]","{20, 3}"
"DirectedEdge[1548, 1336]","DirectedEdge[1336, 1548]","{2, 3}"
"DirectedEdge[121, 5764]","DirectedEdge[5764, 121]","{1, 1}"
"DirectedEdge[488, 1919]","DirectedEdge[1919, 488]","{5, 1}"
"DirectedEdge[1454, 2]","DirectedEdge[2, 1454]","{1, 1}"
"DirectedEdge[1336, 2492]","DirectedEdge[2492, 1336]","{38, 1}"
"DirectedEdge[3574, 2492]","DirectedEdge[2492, 3574]","{37, 1}"
"DirectedEdge[488, 1466]","DirectedEdge[1466, 488]","{6, 2}"
"DirectedEdge[1304, 3284]","DirectedEdge[3284, 1304]","{1, 2}"
"DirectedEdge[488, 3284]","DirectedEdge[3284, 488]","{2, 17}"
"DirectedEdge[5375, 17165]","DirectedEdge[17165, 5375]","{1, 3}"
"DirectedEdge[488, 17165]","DirectedEdge[17165, 488]","{1, 2}"
"DirectedEdge[2358, 2]","DirectedEdge[2, 2358]","{28, 6}"
"DirectedEdge[7718, 660]","DirectedEdge[660, 7718]","{6, 4}"
"DirectedEdge[488, 1738]","DirectedEdge[1738, 488]","{6, 2}"
"DirectedEdge[488, 2287]","DirectedEdge[2287, 488]","{8, 1}"
"DirectedEdge[532, 537]","DirectedEdge[537, 532]","{33, 1}"
"DirectedEdge[1304, 204]","DirectedEdge[204, 1304]","{3, 11}"
"DirectedEdge[488, 1046]","DirectedEdge[1046, 488]","{16, 2}"
"DirectedEdge[3810, 5233]","DirectedEdge[5233, 3810]","{23, 6}"
"DirectedEdge[488, 953]","DirectedEdge[953, 488]","{5, 1}"
"DirectedEdge[488, 4916]","DirectedEdge[4916, 488]","{3, 12}"
"DirectedEdge[4883, 1522]","DirectedEdge[1522, 4883]","{67, 1}"
